question_code,question_text,question_subquestion_text,scoring_codes,additional_comments_1,additional_comments_2
Q4_text,Which terms best describe the type of data you use (check all that apply)?,"other, please specify","Yes, No",responses coded as text strings in scoring_codes,
Q5_1,"If some or all of your data are available to others, these data are available:",on my organization's website,"none, some, most, all",responses coded as text strings in scoring_codes,
Q5_2,"If some or all of your data are available to others, these data are available:",on the principal investigator’s website,"none, some, most, all",responses coded as text strings in scoring_codes,
Q5_3,"If some or all of your data are available to others, these data are available:",through a national network,"none, some, most, all",responses coded as text strings in scoring_codes,
Q5_4,"If some or all of your data are available to others, these data are available:",through a regional network,"none, some, most, all",responses coded as text strings in scoring_codes,
Q5_5,"If some or all of your data are available to others, these data are available:",through a global network,"none, some, most, all",responses coded as text strings in scoring_codes,
Q5_6,"If some or all of your data are available to others, these data are available:",on my personal website,"none, some, most, all",responses coded as text strings in scoring_codes,
Q5_7,"If some or all of your data are available to others, these data are available:",other,"none, some, most, all",responses coded as text strings in scoring_codes,
Q5_text,"If some or all of your data are available to others, these data are available:","other, please specify",,this field is not in the survey .doc file in Google Drive Instruments folder,
Q6_1,"If your data are not available electronically to others, why not (check all that apply)?",Lack of funding,"Yes, No",responses coded as text strings in scoring_codes,
Q6_2,"If your data are not available electronically to others, why not (check all that apply)?",Lack of standards,"Yes, No",responses coded as text strings in scoring_codes,
Q6_3,"If your data are not available electronically to others, why not (check all that apply)?",People don’t need them,"Yes, No",responses coded as text strings in scoring_codes,
Q6_4,"If your data are not available electronically to others, why not (check all that apply)?",There is insufficient time to make them available,"Yes, No",responses coded as text strings in scoring_codes,
Q6_5,"If your data are not available electronically to others, why not (check all that apply)?",There is no place to put them,"Yes, No",responses coded as text strings in scoring_codes,
Q6_6,"If your data are not available electronically to others, why not (check all that apply)?",They shouldn't be available,"Yes, No",responses coded as text strings in scoring_codes,
Q6_7,"If your data are not available electronically to others, why not (check all that apply)?",Sponsor doesn't require it,"Yes, No",responses coded as text strings in scoring_codes,
Q6_8,"If your data are not available electronically to others, why not (check all that apply)?",Don't have the rights to make the data public,"Yes, No",responses coded as text strings in scoring_codes,
Q6_9,"If your data are not available electronically to others, why not (check all that apply)?",Other (please specify),"Yes, No",responses coded as text strings in scoring_codes,
Q6_text,"If your data are not available electronically to others, why not (check all that apply)?","other, please specify",,,
Q7_1,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the process for collecting my research data,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_2,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the process for searching for my own data,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_3,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the process for cataloging/describing my data,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_4,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the process for storing my data during the life of the project (short-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_5,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the process for storing my data beyond the life of the project (long-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_6,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the process for analyzing my data,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_7,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I share my data with others,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_8,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",Others can access my data easily,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_9,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the tools for preparing metadata,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q7_10,"The following group of statements relates to how you collect and use research data. Tell us how much you agree with each statement using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with the tools for preparing my documentation,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q8_1,"The following group of statements relates to how your organization is involved with your data. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",My organization or project has a formal established process for managing data during the life of the project (short-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q8_2,"The following group of statements relates to how your organization is involved with your data. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",My organization or project has a formal established process for storing data beyond the life of the project (long-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q8_3,"The following group of statements relates to how your organization is involved with your data. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",My organization or project provides the necessary tools and technical support for data management during the life of the project (short-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q8_4,"The following group of statements relates to how your organization is involved with your data. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",My organization or project provides the necessary tools and technical support for data management beyond the life of the project (long-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q8_5,"The following group of statements relates to how your organization is involved with your data. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",My organization or project provides training on best practices for data management,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q8_6,"The following group of statements relates to how your organization is involved with your data. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",My organization or project provides the necessary funds to support data management during the life of a research project (short-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q8_7,"The following group of statements relates to how your organization is involved with your data. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",My organization or project provides the necessary funds to support data management beyond the life of the project (long-term),"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q9_1,"The following group of statements relates to your views on the use of data across your research field. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",Lack of access to data generated by other researchers or institutions is a major impediment to progress in science,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q9_2,"The following group of statements relates to your views on the use of data across your research field. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",Lack of access to data generated by other researchers or institutions has restricted my ability to answer scientific questions,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q9_3,"The following group of statements relates to your views on the use of data across your research field. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",Data may be misinterpreted due to complexity of the data,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q9_4,"The following group of statements relates to your views on the use of data across your research field. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",Data may be misinterpreted due to poor quality of the data,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q9_5,"The following group of statements relates to your views on the use of data across your research field. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",Data may be used in other ways than intended,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_1,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I would use other researchers' datasets if their datasets were easily accessible,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_2,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I would be willing to place at least some of my data into a central data repository with no restrictions,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_3,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I would be willing to place all of my data into a central data repository with no restrictions,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_4,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I would be more likely to make my data available if I could place conditions on access,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_5,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I am satisfied with my ability to integrate data from disparate sources to address research questions,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_6,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",I would be willing to share data across a broad group of researchers who use data in different ways,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_7,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",It is important that my data are cited when used by other researchers,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q10_8,"The following group of statements relates to data sharing. Tell us how much you agree with each using the following scale: agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly.",It is appropriate to create new datasets from shared data,"agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",responses coded as text strings in scoring_codes,
Q11a_1,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,Co-authorship on publications resulting from use of the data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_2,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,Formal acknowledgement of the data providers and/or funding agencies in all disseminated work making use of the data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_3,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,Formal citation of the data providers and/or funding agencies in all disseminated work making use of the data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_4,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,"The opportunity to collaborate on the project (including, for example, consultation on analytic methods, interpretation of results, dissemination of research results, etc.)","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_5,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,Results based (at least in part) on the data could not be disseminated in any format without the data provider's approval,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_6,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,"At least part of the costs of data acquisition, retrieval or provision must be recovered","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_7,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,"Results based (at least in part) on the data could not be disseminated without the data provider having the opportunity to review the results and make suggestions or comments, but approval not required","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_8,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,Reprints of articles that make use of the data must be provided to the data provider,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_9,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,"The data provider is given a complete list of all products that make use of the data, including articles, presentations, educational materials, etc.","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_10,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,Legal permission for data use is obtained,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_11,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,Mutual agreement on reciprocal sharing of data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11a_12,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  For others to use my data…,The data provider is given and agrees to a statement of uses to which the data will be put,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_1,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,Co-authorship on publications resulting from use of the data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_2,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,Formal acknowledgement of the data providers and/or funding agencies in all disseminated work making use of the data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_3,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,Formal citation of the data providers and/or funding agencies in all disseminated work making use of the data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_4,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,"The opportunity to collaborate on the project (including, for example, consultation on analytic methods, interpretation of results, dissemination of research results, etc.)","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_5,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,Results based (at least in part) on the data could not be disseminated in any format without the data provider's approval,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_6,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,"At least part of the costs of data acquisition, retrieval or provision must be recovered","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_7,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,"Results based (at least in part) on the data could not be disseminated without the data provider having the opportunity to review the results and make suggestions or comments, but approval not required","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_8,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,Reprints of articles that make use of the data must be provided to the data provider,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_9,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,"The data provider is given a complete list of all products that make use of the data, including articles, presentations, educational materials, etc.","Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_10,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,Legal permission for data use is obtained,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_11,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,Mutual agreement on reciprocal sharing of data,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q11b_12,Is each of the following conditions a fair exchange for the use of your data or a fair exchange for the use of other people's data?  To use other people's data…,The data provider is given and agrees to a statement of uses to which the data will be put,"Yes, No",responses coded as text strings in scoring_codes,are we sure about the scoring matrix? -- this is a tricky table with nested columns.  Verify Qualtrix coding
Q12_1,"What metadata do you currently use to describe your data, if any (check all that apply)?",DC (Dublin Core),"Yes, No",responses coded as text strings in scoring_codes,
Q12_2,"What metadata do you currently use to describe your data, if any (check all that apply)?",DwC (Darwin Core),"Yes, No",responses coded as text strings in scoring_codes,
Q12_3,"What metadata do you currently use to describe your data, if any (check all that apply)?",DIF (Directory Interchange Format),"Yes, No",responses coded as text strings in scoring_codes,
Q12_4,"What metadata do you currently use to describe your data, if any (check all that apply)?",EML (Ecological Metadata Language),"Yes, No",responses coded as text strings in scoring_codes,
Q12_5,"What metadata do you currently use to describe your data, if any (check all that apply)?",FGDC (Federal Geographic Data Committee),"Yes, No",responses coded as text strings in scoring_codes,
Q12_6,"What metadata do you currently use to describe your data, if any (check all that apply)?",ISO (International Standards Organization),"Yes, No",responses coded as text strings in scoring_codes,
Q12_7,"What metadata do you currently use to describe your data, if any (check all that apply)?",OGIS (Open GIS),"Yes, No",responses coded as text strings in scoring_codes,
Q12_8,"What metadata do you currently use to describe your data, if any (check all that apply)?",metadata standardized within my lab,"Yes, No",responses coded as text strings in scoring_codes,
Q12_9,"What metadata do you currently use to describe your data, if any (check all that apply)?",none,"Yes, No",responses coded as text strings in scoring_codes,
Q12_10,"What metadata do you currently use to describe your data, if any (check all that apply)?","other, please specify","Yes, No",responses coded as text strings in scoring_codes,
Q12_text,"What metadata do you currently use to describe your data, if any (check all that apply)?","other, please specify","Yes, No",responses coded as text strings in scoring_codes,
Q13,Do you have the sole responsibility for approving access to your data?,NA,"Yes - for all my datasets, Yes - for some of my datasets, No",responses coded as text strings in scoring_codes,
Q14_text,"If no, what additional approvals would be necessary?",NA,,,
Q15,Which of the following best describes your primary funding agency?,NA,"Federal/national government, State/regional government, Local government, Corporation, Private foundation, Other (please specify)",responses coded as text strings in scoring_codes,
Q15_text,Which of the following best describes your primary funding agency?,"other, please specify",,,
Q16,My primary project funding agency requires me to provide a data management plan.,NA,"Yes, No, Don't know",responses coded as text strings in scoring_codes,
Q17_1,Which of the following do you use to access data (check all that apply)?,LTER (Long-tem Ecological Research Network),"Yes, No",responses coded as text strings in scoring_codes,
Q17_2,Which of the following do you use to access data (check all that apply)?,ILTER (International Long-term Ecological Research Network),"Yes, No",responses coded as text strings in scoring_codes,
Q17_3,Which of the following do you use to access data (check all that apply)?,NEON (National Ecological Observatory Network),"Yes, No",responses coded as text strings in scoring_codes,
Q17_4,Which of the following do you use to access data (check all that apply)?,NBII (National Biological Information Infrastructure),"Yes, No",responses coded as text strings in scoring_codes,
Q17_5,Which of the following do you use to access data (check all that apply)?,DAAC (A Distributed Active-Archive Center),"Yes, No",responses coded as text strings in scoring_codes,
Q17_6,Which of the following do you use to access data (check all that apply)?,GBIF (A Global Biodiversity Information Facility),"Yes, No",responses coded as text strings in scoring_codes,
Q17_7,Which of the following do you use to access data (check all that apply)?,SAEON (South African Environmental Observation Network),"Yes, No",responses coded as text strings in scoring_codes,
Q17_8,Which of the following do you use to access data (check all that apply)?,TERN (Taiwan Ecological Research Network),"Yes, No",responses coded as text strings in scoring_codes,
Q17_9,Which of the following do you use to access data (check all that apply)?,An organization-specific system,"Yes, No",responses coded as text strings in scoring_codes,
Q17_10,Which of the following do you use to access data (check all that apply)?,Other (please specify),"Yes, No",responses coded as text strings in scoring_codes,
Q17_text,Which of the following do you use to access data (check all that apply)?,"other, please specify",,"note: there is a Q18 in the original survey - Please share any additional comments, questions, or suggestions about your use of data.  Is this field in Qualtrix?",
Q19,My current position ,NA,"Administrator, Assistant Professor, Associate Professor, Professor, Graduate student, Undergraduate, Lecturer, Post-doctoral fellow, Researcher, Other",responses coded as text strings in scoring_codes,
Q19_text,"My current position, other, please specify",NA,,,
Q20,Which of the following countries is your primary place of employment?,NA,see country_codes file,"responses coded as text strings, see scoring_codes",
Q21,"If your response to question #20 was ""United States of America,"" also indicate your primary state (or US territory) of employment",NA,see country_codes file,"responses coded as text strings, see scoring_codes",
Q22,What is your age?,NA,,,
Q23,Gender,NA,"Male, Female","responses coded as text strings, see scoring_codes",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
