question_code,question_text,question_subquestion_text,scoring_codes,additional_comments_1,additional_comments_2,original_question_long_string,,
Q9_5,Which terms best describe the type of data you use?,Interviews,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Interviews.  1 = yes, 0 = no",,
Q9_6,Which terms best describe the type of data you use?,Observational,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Observational.  1 = yes, 0 = no",,
Q9_7,Which terms best describe the type of data you use?,Remote-sensed abiotic data,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Remote-sensed abiotic data.  1 = yes, 0 = no",,
Q9_8,Which terms best describe the type of data you use?,Remote-sensed biotic data,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Remote-sensed biotic data.  1 = yes, 0 = no",,
Q9_9,Which terms best describe the type of data you use?,Social Science Survey,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Social Science Survey.  1 = yes, 0 = no",,
Q9_10,Which terms best describe the type of data you use?,Other (please specify),"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Other (please specify).  1 = yes, 0 = no",,
Q9_10_TEXT,Which terms best describe the type of data you use?,Other (please specify) text,,originally (Q11),,11) Which terms best describe the type of data you use? Other (please specify) text,,
Q9_11,Unknown,NA,,Unknown,,Unknown Choice in .sav file,,
Q10_1,"What metadata standards do you currently use to describe your data, if any? ",DC (Dublin Core),,originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? DC (Dublin Core), 1 = yes, 2 = no",,
Q10_2,"What metadata standards do you currently use to describe your data, if any? ",DWC (Darwin Core),"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? DwC (Darwin Core), 1 = yes, 2 = no",,
Q10_3,"What metadata standards do you currently use to describe your data, if any? ",DIF (Directory Interchange Format),"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? DIF (Directory Interchange Format), 1 = yes, 2 = no",,
Q10_4,"What metadata standards do you currently use to describe your data, if any? ",EML (Ecological Metadata Language),"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? EML (Ecological Metadata Language), 1 = yes, 2 = no",,
Q10_5,"What metadata standards do you currently use to describe your data, if any? ",FGDC (Federal Geographic Data Committee),"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? FGDC (Federal Geographic Data Committee), 1 = yes, 2 = no",,
Q10_6,"What metadata standards do you currently use to describe your data, if any? ",ISO 19115 (Geographic Information – Metadata),"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? ISO 19115 (Geographic Information – Metadata), 1 = yes, 2 = no",,
Q10_7,"What metadata standards do you currently use to describe your data, if any? ",Other ISO metadata standard,"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? Other ISO metadata standard, 1 = yes, 2 = no",,
Q10_8,"What metadata standards do you currently use to describe your data, if any? ",OGIS (Open GIS),"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? OGIS (Open GIS), 1 = yes, 2 = no",,
Q10_9,"What metadata standards do you currently use to describe your data, if any? ",ANZLIC metadata profile,"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? ANZLIC metadata profile, 1 = yes, 2 = no",,
Q10_10,"What metadata standards do you currently use to describe your data, if any? ",metadata standardized within my institution,"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any?  metadata standardized within my institution, 1 = yes, 2 = no",,
Q10_11,"What metadata standards do you currently use to describe your data, if any? ",metadata standardized within my lab,"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any?  metadata standardized within my lab, 1 = yes, 2 = no",,
Q10_12,"What metadata standards do you currently use to describe your data, if any? ",None,"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? None, 1 = yes, 2 = no",,
Q10_13,"What metadata standards do you currently use to describe your data, if any? ",Other,"1 = yes, 0 = no",originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? Other , 1 = yes, 2 = no",,
Q10_13_TEXT,"What metadata standards do you currently use to describe your data, if any? ",Other Text,,originally (Q27),,"27) What metadata standards do you currently use to describe your data, if any? Other Text",,
Q10_14,Unknown,NA,,Unknown,,Unknown Choice in .sav file,,
Q11,Which of the following best describes the primary funding agency for your research?  ,NA,"1 = Federal/national government, 2 = State/regional government, 3 = Local government, 4 = Corporation, 5 = Private foundation, 6 = Internal/my institution, 7 = Other",originally (Q30),,"30) Which of the following best describes the primary funding agency for your research?  1 = Federal/national government, 2 = State/regional government, 3 = Local government, 4 = Corporation, 5 = Private foundation, 6 = Internal/my institution, 7 = Other",,
Q11_TEXT,Which of the following best describes the primary funding agency for your research? Other Text,NA,,originally (Q30),,30) Which of the following best describes the primary funding agency for your research? Text,,
Q12,Does your primary funding agency require you to provide a data management plan?,NA,"1 = yes, 2 = no, 3 = don't know",originally (Q31),,"31) Does your primary funding agency require you to provide a data management plan? 1 = Yes, 2 = No, 3 = Don't know ",,
Q13_1,Which of the following do you use to access or submit data?,DAAC (A Distributed Active-Archive Center),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? DAAC (A Distributed Active-Archive Center).   1 = yes,,
Q13_2,Which of the following do you use to access or submit data?,DataONE (Data Observation Network for Earth),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? DataONE (Data Observation Network for Earth).   1 = yes,,
Q13_3,Which of the following do you use to access or submit data?,Dryad,1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? Dryad.   1 = yes,,
Q13_4,Which of the following do you use to access or submit data?,ESA (Ecological Society of America),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? ESA (Ecological Society of America).   1 = yes,,
Q13_5,Which of the following do you use to access or submit data?,GBIF (A Global Biodiversity Information Facility),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? GBIF (A Global Biodiversity Information Facility).   1 = yes,,
Q13_6,Which of the following do you use to access or submit data?,ILTER (International Long-term Ecological Research Network),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? ILTER (International Long-term Ecological Research Network).   1 = yes,,
Q13_7,Which of the following do you use to access or submit data?,KNB (Knowledge Network for Biocomplexity),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? KNB (Knowledge Network for Biocomplexity).   1 = yes,,
Q13_8,Which of the following do you use to access or submit data?,LTER (Long-term Ecological Research Network),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? LTER (Long-term Ecological Research Network).   1 = yes,,
Q13_9,Which of the following do you use to access or submit data?,NEON (National Ecological Observatory Network),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? NEON (National Ecological Observatory Network).   1 = yes,,
Q13_10,Which of the following do you use to access or submit data?,ORNL DAAC (Oak Ridge National Laboratory Distributed Active Archive Center),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? ORNL DAAC (Oak Ridge National Laboratory Distributed Active Archive Center).   1 = yes,,
Q13_11,Which of the following do you use to access or submit data?,PISCO (Partnership for Interdisciplinary Study of Coastal Oceans),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? PISCO (Partnership for Interdisciplinary Study of Coastal Oceans).   1 = yes,,
Q13_12,Which of the following do you use to access or submit data?,SAEON (South African Environmental Observation Network),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? SAEON (South African Environmental Observation Network).   1 = yes,,
Q13_13,Which of the following do you use to access or submit data?,SanParks (South Africa National Parks),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? SanParks (South Africa National Parks).   1 = yes,,
Q13_14,Which of the following do you use to access or submit data?,TERN (Taiwan Ecological Research Network),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? TERN (Taiwan Ecological Research Network).   1 = yes,,
Q13_15,Which of the following do you use to access or submit data?,UC3 (University of California Curation Center),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? UC3 (University of California Curation Center).   1 = yes,,
Q13_16,Which of the following do you use to access or submit data?,USGS CSC (USGS Core Sciences Clearinghouse),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? USGS CSC (USGS Core Sciences Clearinghouse).   1 = yes,,
Q13_17,Which of the following do you use to access or submit data?,Another organization-specific system (please specify),1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data?  Another organization-specific system (please specify).   1 = yes,,
Q13_17_TEXT,Which of the following do you use to access or submit data?,Another organization-specific system (please specify) Text,,originally (Q33),,33) Which of the following do you use to access or submit data? Another organization-specific system (please specify) Text,,
Q13_18,Which of the following do you use to access or submit data?,Other (please specify),,originally (Q33),,33) Which of the following do you use to access or submit data? Other (please specify) ,,
Q13_18_TEXT,Which of the following do you use to access or submit data?,Other (please specify)  Text,,originally (Q33),,33) Which of the following do you use to access or submit data? Other (please specify)  Text,,
Q13_19,Which of the following do you use to access or submit data?,None,1 = yes,originally (Q33),,33) Which of the following do you use to access or submit data? None.   1 = yes,,
Q14_1,How much of your data do you currently store in the following locations?,on my institution’s server,"1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure",originally (Q12),,"12) How much of your data do you currently store in the following locations? on my institution’s server, 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_2,How much of your data do you currently store in the following locations?,on the principal investigator’s server,,originally (Q12),,"12) How much of your data do you currently store in the following locations? on the principal investigator’s server, 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_3,How much of your data do you currently store in the following locations?,on a departmental server,,originally (Q12),,"12) How much of your data do you currently store in the following locations?  on a departmental server, 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_4,How much of your data do you currently store in the following locations?,on my personal computer,,originally (Q12),,"12) How much of your data do you currently store in the following locations? on my personal computer, 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_5,How much of your data do you currently store in the following locations?,on paper in my office,,originally (Q12),,"12) How much of your data do you currently store in the following locations? on paper in my office, 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_6,How much of your data do you currently store in the following locations?,"in a discipline-based repository, (e.g. NEON or LTER)",,originally (Q12),,"12) How much of your data do you currently store in the following locations? in a discipline-based repository, (e.g. NEON or LTER), 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_7,How much of your data do you currently store in the following locations?,"in a publisher or publisher-related repository (e.g., specific publisher or Dryad)",,originally (Q12),,"12) How much of your data do you currently store in the following locations? in a publisher or publisher-related repository (e.g., specific publisher or Dryad), 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_8,How much of your data do you currently store in the following locations?,"other data repository or archive (e.g., national data center)",,originally (Q12),,"12) How much of your data do you currently store in the following locations? other data repository or archive (e.g., national data center), 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_9,How much of your data do you currently store in the following locations?,in my institution’s repository,,originally (Q12),,"12) How much of your data do you currently store in the following locations?  in my institution’s repository, 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_10,How much of your data do you currently store in the following locations?,other,,originally (Q12),,"12) How much of your data do you currently store in the following locations?  other , 1 = None of my data, 2 = Some of my data, 3 = Most of my data, 4 = All of my data, 5 = Not sure ",,
Q14_10_TEXT,How much of your data do you currently store in the following locations?,other text,,originally (Q12),,12) How much of your data do you currently store in the following locations? Text,,
Q14_11,Unknown,NA,,Unknown Choice in .sav file,,Unknown Choice in .sav file,,
Q14_12,Unknown,NA,,Unknown Choice in .sav file,,Unknown Choice in .sav file,,
Q14_13,Unknown,NA,,Unknown Choice in .sav file,,Unknown Choice in .sav file,,
Q15,How much of your data do you make available to others?,NA,"1 = none, 2 = some, 3 = most, 4 = all",originally (Q13),,"13) How much of your data do you make available to others?, 1 = none, 2 = some, 3 = most, 4 = all",,
Q16_1,"If all or part of your data are not available to others, why not?",Lack of funding,"1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? Lack of funding, 1 = yes, 2 = no",,
Q16_2,"If all or part of your data are not available to others, why not?","Lack of standards, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? Lack of standards, 1 = yes, 2 = no",,
Q16_3,"If all or part of your data are not available to others, why not?","People don’t need them, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? People don’t need them, 1 = yes, 2 = no",,
Q16_4,"If all or part of your data are not available to others, why not?","There is insufficient time to make them available, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? There is insufficient time to make them available, 1 = yes, 2 = no",,
Q16_5,"If all or part of your data are not available to others, why not?","There is no place to put them, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? There is no place to put them, 1 = yes, 2 = no",,
Q16_6,"If all or part of your data are not available to others, why not?","They shouldn't be available, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? They shouldn't be available, 1 = yes, 2 = no",,
Q16_7,"If all or part of your data are not available to others, why not?","Sponsor doesn't require it, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? Sponsor doesn't require it, 1 = yes, 2 = no",,
Q16_8,"If all or part of your data are not available to others, why not?","Don't have the rights to make the data public, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? Don't have the rights to make the data public, 1 = yes, 2 = no",,
Q16_9,"If all or part of your data are not available to others, why not?","I would lose control of the data, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? I would lose control of the data, 1 = yes, 2 = no",,
Q16_10,"If all or part of your data are not available to others, why not?","I need to publish first, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? I need to publish first, 1 = yes, 2 = no",,
Q16_11,"If all or part of your data are not available to others, why not?","I have insufficient skills to make my data available, 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? I have insufficient skills to make my data available, 1 = yes, 2 = no",,
Q16_12,"If all or part of your data are not available to others, why not?","Other (please specify), 1 = yes, 2 = no","1 = yes, 2 = no",originally (Q14),,"14) If all or part of your data are not available to others, why not? Other (please specify), 1 = yes, 2 = no",,
 Q16_NO,"If all or part of your data are not available to others, why not?",COUNTS of No's for Q16_1 to Q16_12,,originally (Q14),,"14) If all or part of your data are not available to others, why not?  COUNTS of No's for Q16_1 to Q16_12",,
 Q16_YES,"If all or part of your data are not available to others, why not?",COUNTS of YES's for Q16_1 to Q16_12,,originally (Q14),,"14) If all or part of your data are not available to others, why not?  COUNTS of YES's for Q16_1 to Q16_12",,
Q16_12_TEXT,"If all or part of your data are not available to others, why not?",Other (please specify) text,,originally (Q14),,"14) If all or part of your data are not available to others, why not? Other (please specify) text",,
Q17_1,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,process for collecting my research data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  process for collecting my research data. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q17_2,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,process for cataloging / describing my data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence: I am satisfied with the… process for cataloging / describing my data.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q17_3,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,process for storing my data during the life of the project (short-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence: : I am satisfied with the… process for storing my data during the life of the project (short-term).  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q17_4,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,process for storing my data beyond the life of the project (long-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence: I am satisfied with the… process for storing my data beyond the life of the project (long-term).  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q17_5,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,process for searching for my own data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence: I am satisfied with the… process for searching for my own data.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q17_6,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,process for analyzing my data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence: I am satisfied with the… process for analyzing my data.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q17_7,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,tools for preparing metadata,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence: I am satisfied with the… tools for preparing metadata.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q17_8,The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence:  I am satisfied with the…  ,tools for preparing my documentation,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q15),,"15) The following statements relate to how you collect and use research data. Tell us how much you agree with the following ways to complete this sentence: I am satisfied with the… tools for preparing my documentation.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q18_1,The following statements relate to data sharing and access. ,I share my data with others,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q16),,"16) The following statements relate to data sharing and access. I share my data with others.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q18_2,The following statements relate to data sharing and access. ,Others need my permission to access my data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q16),,"16) The following statements relate to data sharing and access. Others need my permission to access my data.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q18_3,The following statements relate to data sharing and access. ,Others can access my data easily.,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q16),,"16) The following statements relate to data sharing and access. Others can access my data easily. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q19_1,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ","co-authorship on publications resulting from use of the data
","1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... co-authorship on publications resulting from use of the data.  1 = yes, 2 = no, 3 = not sure
",,
Q19_2,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",acknowledgement of the data providers in all disseminated work making use of the data,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... acknowledgement of the data providers in all disseminated work making use of the data., 2 = no, 3 = not sure",,
Q19_3,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",citation of the data providers in all disseminated work making use of the data,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... citation of the data providers in all disseminated work making use of the data.  1 = yes, 2 = no, 3 = not sure",,
Q19_4,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",the opportunity to collaborate on a project using the data,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... the opportunity to collaborate on a project using the data.  1 = yes, 2 = no, 3 = not sure",,
Q19_5,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",results based (at least in part) on the data could not be disseminated in any format without the data provider's approval.,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... results based (at least in part) on the data could not be disseminated in any format without the data provider's approval., 2 = no, 3 = not sure",,
