"","16_12_09","06_16_13_1","06_16_13_2","06_16_13_3","06_16_13_4","06_16_13_5","06_16_13_6","06_16_13_7","07_17_14_1","07_17_14_2","07_17_14_3","08_20_16_1","08_20_16_2","08_22_18","09_31_20_1","09_31_20_2","09_31_20_3","09_31_20_4","09_31_20_5","10_32_19_1","10_32_19_2","10_32_19_3","10_32_19_4","10_32_19_5","10_32_19_6","10_32_19_7","10_32_19_8","11_19_15_1","11_19_15_2","11_19_15_3","11_19_15_4","11_19_15_5","11_19_15_6","11_19_15_7","11_19_15_8","11_19_15_9","11_19_15_10","11_19_15_11","work_sector","domain","funding_agency","region","survey_label","dim_1","dim_2","contrib","sl_10_32_19_2","sl_10_32_19_3","sl_11_19_15_7"
"24","3","2","2","2","1","2","1","1","2","4","2","4","1","1","2","1","1","1","1","1","1","2","1","2","1","3","1","1","1","1","1","2","1","1","2","2","1","1","1","Natural science","Private foundation","USACanada","S1",-0.827910974061578,0.217901310796342,0.00392218748014557,"S1_1","S1_2","S1_1"
"25","1","2","2","2","2","2","2","2","4","4","3","1","1","1","2","2","2","2","1","1","2","3","1","2","1","1","1","2","1","1","2","2","2","1","1","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-2.30012039995982,0.62071141975616,0.0303740776443567,"S1_2","S1_3","S1_1"
"26","1","2","2","2","1","2","2","2","4","3","5","3","2","5","1","1","1","1","1","1","1","4","2","3","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-2.73090727852184,-0.898423477224018,0.0442300156597427,"S1_1","S1_4","S1_1"
"27","1","2","2","2","2","2","2","1","4","4","2","2","1","1","2","1","1","1","1","1","1","4","2","4","1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","Natural science","Federal/national government","USACanada","S1",-0.928308923286486,0.174300576493116,0.00477425191467643,"S1_1","S1_4","S1_1"
"28","3","2","2","2","2","2","2","1","3","4","4","1","1","4","2","2","2","2","2","1","2","3","2","2","2","2","2","2","1","1","1","2","1","2","1","2","1","2","1","Natural science","Federal/national government","USACanada","S1",0.491031570588793,-0.753081244287318,0.00432529136409292,"S1_2","S1_3","S1_2"
"29","1","2","2","2","1","2","2","2","2","5","5","4","2","5","2","3","2","1","1","1","2","4","3","3","1","1","1","2","1","2","2","2","2","1","2","2","2","2","2","Natural science","Federal/national government","USACanada","S1",-2.93295558651816,-1.36800273152449,0.0560494931885055,"S1_2","S1_4","S1_1"
"30","1","2","2","2","2","1","1","1","1","1","1","3","3","4","3","3","2","2","3","1","4","4","2","4","4","2","2","1","1","1","2","2","2","1","2","1","1","1","1","Natural science","Federal/national government","USACanada","S1",2.07684612940922,1.4746778649722,0.0347201582228518,"S1_4","S1_4","S1_1"
"31","2","1","2","2","2","2","2","2","2","3","2","2","1","2","1","2","1","1","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","Natural science","Federal/national government","USACanada","S1",0.462266312339111,1.27247206493045,0.00980858001384471,"S1_1","S1_1","S1_1"
"32","2","1","2","2","1","2","1","2","3","4","4","4","4","4","4","3","4","2","1","2","2","3","2","2","2","1","1","1","1","1","1","2","2","1","1","2","1","1","1","Natural science","Federal/national government","EuroRussia","S1",1.79640436840481,-2.069778202789,0.0401951728401301,"S1_2","S1_3","S1_1"
"34","2","2","1","2","1","2","2","2","4","3","1","4","3","4","1","4","1","1","1","1","1","3","1","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","1","Natural science","Federal/national government","USACanada","S1",0.0926511665591169,-0.29809354658761,0.000521468799702808,"S1_1","S1_3","S1_2"
"36","2","1","2","2","1","1","2","2","1","3","2","2","2","3","4","4","3","3","3","2","1","1","3","2","1","1","1","1","1","1","1","2","2","1","1","1","2","2","5","Physical science","Federal/national government","USACanada","S1",-0.647070251339644,1.11055028063229,0.00884074784945894,"S1_1","S1_1","S1_1"
"37","2","2","2","2","2","2","2","1","2","4","4","2","2","4","1","2","1","1","1","2","3","5","3","3","2","2","2","2","1","1","2","1","1","2","2","1","2","2","3","Natural science","Corporation","USACanada","S1",-0.0941924987879373,-0.0741537812287903,7.69060516363577e-05,"S1_3","S1_5","S1_2"
"38","2","1","1","1","1","2","1","2","2","3","5","4","4","3","1","1","1","2","3","2","2","1","3","2","1","1","1","1","2","2","2","2","2","1","2","2","2","2","2","Physical science","Federal/national government","USACanada","S1",-2.48404737802518,-1.40589484059889,0.0435986082191616,"S1_2","S1_1","S1_1"
"39","1","1","1","2","2","2","2","2","3","5","5","5","5","4","1","1","1","1","1","1","1","2","4","1","1","1","1","2","1","1","1","2","1","1","1","1","1","1","1","Natural science","Federal/national government","USACanada","S1",-0.989910372004333,-2.27530122952874,0.0329485727203821,"S1_1","S1_2","S1_1"
"40","2","1","1","1","2","2","2","2","1","2","4","4","2","5","2","3","1","1","2","1","3","2","2","2","3","1","5","2","1","1","1","1","1","1","2","2","1","2","2","Natural science","Federal/national government","USACanada","S1",0.981594400547321,0.11188231379952,0.00522327821933093,"S1_3","S1_2","S1_1"
"41","2","2","1","2","1","2","1","2","2","5","3","5","5","5","1","2","2","1","1","1","1","4","1","1","2","1","1","2","1","1","1","2","2","2","2","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-1.9560398985829,-2.54722705368638,0.0551975271554113,"S1_1","S1_4","S1_2"
"42","2","1","2","1","1","2","2","2","3","4","3","4","5","5","2","1","3","3","3","1","1","3","2","3","1","1","1","2","1","1","1","2","2","1","2","1","1","1","1","Physical science","Federal/national government","EuroRussia","S1",0.238471202906831,-1.42563860510216,0.0111809041389452,"S1_1","S1_3","S1_1"
"43","1","2","2","2","1","2","2","2","2","1","3","2","2","4","2","4","1","1","1","2","1","4","2","3","2","1","2","2","1","1","2","2","2","1","1","2","1","1","2","Natural science","Federal/national government","USACanada","S1",-0.0783901603899321,0.169569018751424,0.000186759236124545,"S1_1","S1_4","S1_1"
"45","2","2","2","2","2","2","2","2","2","2","3","4","4","4","3","4","2","2","2","2","1","2","1","3","1","1","2","1","1","1","1","1","2","2","2","2","1","2","1","Natural science","State/regional government","EuroRussia","S1",0.29519094379751,-0.36484355809712,0.00117865366217274,"S1_1","S1_2","S1_2"
"47","3","2","2","2","1","2","2","2","1","2","1","1","2","2","1","2","3","1","1","1","1","1","2","2","1","1","2","2","2","1","1","2","2","2","2","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-3.70872959723898,2.09645720159894,0.0971281812126824,"S1_1","S1_1","S1_2"
"49","2","2","2","2","1","2","2","1","1","4","4","1","3","3","2","2","2","2","2","1","1","4","2","2","1","1","1","2","1","1","1","2","1","1","2","2","2","2","3","Physical science","Combined funding sources","USACanada","S1",-1.2844316058085,-0.486842985334524,0.010097052922136,"S1_1","S1_4","S1_1"
"50","2","1","2","2","1","2","1","2","3","3","3","1","4","4","2","2","2","1","1","1","1","4","2","2","2","1","2","1","1","1","2","2","1","1","2","2","2","2","2","Physical science","Federal/national government","USACanada","S1",-0.380677091393093,-1.42055061764114,0.0115745859899666,"S1_1","S1_4","S1_1"
"51","2","1","2","2","2","2","2","2","1","3","2","2","3","2","1","1","1","1","3","1","1","1","5","2","1","1","2","2","1","1","2","1","1","1","1","2","2","2","1","Natural science","Self supported","USACanada","S1",-2.49423403277958,1.52055542321982,0.0456656704349949,"S1_1","S1_1","S1_1"
"53","2","2","2","2","1","1","2","2","1","4","4","5","5","5","3","4","2","2","2","2","2","4","3","2","2","2","1","2","1","1","1","2","2","2","2","2","2","2","1","Physical science","Federal/national government","USACanada","S1",-0.654800943361828,-2.45463151139411,0.0345382910389459,"S1_2","S1_4","S1_2"
"56","2","1","2","2","1","1","2","2","5","5","4","4","5","4","1","1","1","2","2","1","1","1","4","2","1","1","1","2","1","1","1","2","1","1","1","2","1","2","4","Natural science","Federal/national government","USACanada","S1",-2.19920798907401,-3.0968260847494,0.0772048643215302,"S1_1","S1_1","S1_1"
"57","1","1","2","2","1","1","1","1","5","5","5","3","3","3","4","4","3","3","3","1","1","1","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Natural science","State/regional government","USACanada","S1",1.18667295318342,-0.755270097601474,0.0105885586967056,"S1_1","S1_1","S1_1"
"58","2","2","2","2","1","2","2","2","2","3","4","5","5","5","3","3","2","2","2","1","1","1","2","2","1","2","2","1","1","1","1","2","1","1","1","2","1","1","1","Natural science","State/regional government","USACanada","S1",1.17832260498151,-1.47638454616188,0.0190948825758658,"S1_1","S1_1","S1_1"
"59","2","1","1","2","1","1","2","1","5","5","5","5","5","4","1","1","3","3","3","1","1","2","3","5","1","1","1","1","1","1","1","2","1","1","2","2","1","1","2","Natural science","Federal/national government","AustraliaNZ","S1",-0.729596358363961,-3.63473420309432,0.0735485034688659,"S1_1","S1_2","S1_1"
"60","2","1","2","2","2","2","2","2","4","4","3","4","4","4","4","4","2","4","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","1","2","2","2","2","1","Natural science","Federal/national government","EuroRussia","S1",0.92042784994873,-1.48607699895815,0.0163520221403595,"S1_2","S1_2","S1_1"
"61","2","2","1","2","2","2","2","2","3","3","5","2","2","4","1","1","1","1","1","1","2","5","5","2","2","1","1","1","1","1","1","1","1","1","2","2","1","1","3","Natural science","Other","USACanada","S1",0.469251389090708,-0.0708341819340279,0.00120522817247795,"S1_2","S1_5","S1_1"
"62","2","1","1","2","1","1","1","2","2","4","2","4","4","5","1","2","2","2","2","1","1","2","1","2","1","1","1","2","1","1","2","2","1","1","1","2","2","1","1","Natural science","Federal/national government","USACanada","S1",-1.40217596291875,-3.22197946638403,0.0660759523046953,"S1_1","S1_2","S1_1"
"64","3","2","2","2","1","1","2","2","3","3","4","5","5","5","2","2","1","3","2","1","2","3","1","4","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","Natural science","Federal/national government","USACanada","S1",2.17084611451088,-2.39359358512191,0.0558793332915462,"S1_2","S1_3","S1_1"
"65","2","2","2","2","2","2","2","2","1","2","4","5","5","5","1","1","3","2","3","1","1","4","3","3","1","1","2",NA,"1","1","1","1",NA,"1","1",NA,"1","1","1","Natural science","Federal/national government","EuroRussia","S1",1.1655543109526,-0.848352911596995,0.0111215325986786,"S1_1","S1_4","S1_1"
"69","2","2","2","2","1","2","2","2","2","2","2","3","3","3","2","2","3","3","3","1","2","4","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Physical science","Private foundation","USACanada","S1",2.84378792638031,0.999643855350803,0.0486257052876305,"S1_2","S1_4","S1_1"
"71","2","1","2","2","1","2","2","2","4","5","3","5","4","5","1","1","2","2","2","1","1","3","2","4","2","1","3","1","2","1","1","2","1","1","1","2","1","1","1","Natural science","Private foundation","USACanada","S1",1.06036333158971,-2.76563420914356,0.0469490109386654,"S1_1","S1_3","S1_1"
"72","2","2","2","2","1","2","2","2","1","2","4","4","4","5","2","3","1","1","1","2","1","2","2","1","1","2","1","2","2","1","1","2","2","1","2","1","2","1","1","Natural science","Federal/national government","EuroRussia","S1",-1.35166801475335,-0.372637999009552,0.0105202732897171,"S1_1","S1_2","S1_1"
"73","1","1","1","2","2","2","2","1","2","3","5","5","5","5","2","2","2","2","2","1","2","4","2","3","2","1","1","2","1","1","1","2","1","2","1","2","1","2","1","Natural science","Federal/national government","USACanada","S1",0.536336147921749,-3.01508106832713,0.0501880818780727,"S1_2","S1_4","S1_2"
"74","2","2","2","2","2","2","2","2","1","1","1","1","2","3","3","4","2","2","2","4","4","4","2","1","2","1","1","1","1","1","1","1","1","2","2","2","1","2","2","Natural science","Local government","EuroRussia","S1",1.27051311171125,3.17988726298326,0.0627507483492838,"S1_4","S1_4","S1_2"
"75","1","2","2","1","2","2","2","1","2","2","3","4","2","2","2","2","2","3","3","2","1","3","2","5","2","1","2","2","1","1","1","2","2","1","2","2","1","2","1","Physical science","Federal/national government","EuroRussia","S1",-0.5986662721701,-0.0398016515937958,0.00192645203680497,"S1_1","S1_3","S1_1"
"78","2","1","1","2","1","2","1","1","2","2","2","2","2","4","2","2","2","2","2","2","2","2","3","2","3","1","3","2","1","1","1","2","2","2","1","2","2","2","1","Physical science","Federal/national government","EuroRussia","S1",-0.388679426993222,-1.45495981738483,0.0121370291920722,"S1_2","S1_2","S1_2"
"79","2","2","1","2","2","1","1","2","1","2","3","4","4","2","2","2","1","2","1","1","3","3","3","4","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Physical science","Federal/national government","USACanada","S1",2.60161686536832,-0.575936630920077,0.0379960543929129,"S1_3","S1_3","S1_1"
"80","2","1","1","2","2","2","1","1","2","2","2","1","1","2","2","3","2","3","1","2","1","1","3","3","2","1","1","1","1","1","1","2","1","2","1","2","1","2","1","Physical science","Self supported","USACanada","S1",-0.114251708519048,0.34538332192307,0.000708230291011914,"S1_1","S1_1","S1_2"
"82","2","1","2","1","1","2","2","2","1","4","3","5","2","2","4","4","1","2","1","2","1","2","4","4","1","1","1","2","1","1","1","2","1","2","2","2","2","2","2","Natural science","Federal/national government","USACanada","S1",-2.08701946042233,-0.916652727180328,0.0278057241218862,"S1_1","S1_2","S1_2"
"84","1","1","2","2","1","2","2","2",NA,"4","3","1","1","4","2","4","1","1","3","2","2","4","2","4","3","2","2","2","1","1","1","2",NA,"1","2","2","1","1","1","Natural science","Federal/national government","USACanada","S1",1.11473876905635,-0.552429287402471,0.00828311811842722,"S1_2","S1_4","S1_1"
"85","2","1","1","2","1","1","2","2","2","4","2","4","5","3","3","3","2","5","3","1","2","2","3","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","Physical science","Combined funding sources","USACanada","S1",2.53620251729388,-1.04131378079245,0.0402251792647802,"S1_2","S1_2","S1_1"
"87","2","1","1","2","1","1","2","2","2","4","5","5","5","5","1","2","2","2","1","1","1","1","2","2","1","2","1","2","1","1","2","2","2","2","2","2","2","1","1","Natural science","Federal/national government","USACanada","S1",-2.89485772216569,-3.42305418260984,0.107551205659969,"S1_1","S1_1","S1_2"
"89","2","2","2","2","1","1","2","2","2","3","2","1","2","3","2","1","2","2","3","2","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","Physical science","State/regional government","USACanada","S1",2.39029796795832,-0.112410588036421,0.0306433850717129,"S1_2","S1_2","S1_1"
"90","2","1","2","2","1","2","2","2","4","5","5","3","3","4","3","2","2","2","2","1","1","1","3","3","1","3","3","1","1","1","1","2","2","2","2","2","1","2","1","Natural science","Federal/national government","USACanada","S1",-1.40032424377032,-1.4098436263105,0.0211306441551414,"S1_1","S1_1","S1_2"
"91","2","1","2","2","1","1","2","2","1","1","2","5","5","5","1","5","3","3","3","1","3",NA,NA,"1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-0.240699826120106,1.49348400070666,0.0122464726690809,"S1_3","S1_NA","S1_2"
"97","2","2","2","2","2","2","1","2","2","3",NA,"3","4","2","1","2","3","2","2","2","1","1","3","2","1","1","2","1","1","1","1","2","1","2","2","1","1","2","1","Natural science","Private foundation","USACanada","S1",-0.31756477638377,0.194198726576498,0.00074150274769683,"S1_1","S1_1","S1_2"
"99","2","1","2","2","1","2","2","2","3","4","3","4","4","4","2","3","2","2","2","1","1","3","3","1","1","2","1","1","1","1","1","2","2","2","1","1","1","2","2","Natural science","Federal/national government","AustraliaNZ","S1",-0.267358510650949,-1.45288885772883,0.0116788727967485,"S1_1","S1_3","S1_2"
"102","2","2","2","2","1","2","2","2","4","4","3","5","5","5","4","4","2","2","2","1","2","4","2","2","2","1","1","2","1","1","1","2","2","2","2","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-0.617935030375848,-2.14691218997259,0.0267095993446543,"S1_2","S1_4","S1_2"
"105","1","2","2","2","2","2","2","2","1","1","2","1","2","2","4","4","4","4","1","1","1","1","5","2","1","1","3","1","1","1","2","2","1","2","1","2","2","2","4","Physical science","Federal/national government","USACanada","S1",-2.99529071858467,3.826194880202,0.126356451033136,"S1_1","S1_1","S1_2"
"106","2","1","1","2","1","2","2","1","2","4","4","4","2","4","2","3","4","2","2","1","1","3","1","3","1","1","1","1","1","1","1","2","1","1","1","1","1","1","2","Natural science","Federal/national government","EuroRussia","S1",1.3769043141076,-1.95026849773233,0.0305002449143316,"S1_1","S1_3","S1_1"
"112","2","1","2","2","1","2","2","2","1","3","4","4","5","5","2","3","1","2","4","2","1","2","1","3","1","1","1","1","1","1","2","2","2","1","2","2","1","1","1","Natural science","Federal/national government","EuroRussia","S1",-0.305555598329773,-1.20583870177622,0.00828092699883157,"S1_1","S1_2","S1_1"
"120","2","1","2","2","1","2","1","1","2","2","4","2","3","5","2","3","1","2","2","2","2","5","2","1","2","2","2","2","1","1","1","2","2","1","1","2","1","2","1","Natural science","Federal/national government","EuroRussia","S1",1.23190205516814,-1.43803172279236,0.019187797071022,"S1_2","S1_5","S1_1"
"121","2","2","2","2","1","2","2","2","2","3","3","3","2","3","2","2","2","2","2","1","1","4","3","3","2","1","3","1","1","1","1","1","2","1","2","2","1","2","1","Physical science","Federal/national government","EuroRussia","S1",0.884447385226601,-0.0905614450038873,0.00423006293797635,"S1_1","S1_4","S1_1"
"123","2","1","2","2","2","1","2","2","3","5","5","3","4","5","2","2","1","1","1","1","1","1","3","3","2","1","1","2","2","2","1","2","1","1","2","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-2.39429439364932,-1.67087809689304,0.0456185081986975,"S1_1","S1_1","S1_1"
"124","2","2","2","2","1","2","2","2","1","1","1","3","3","3","1","1","1","1","1","1","1",NA,NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","Physical science","Federal/national government","EuroRussia","S1",1.11869661005147,3.19486433130328,0.0613205869960874,"S1_1","S1_NA","S1_1"
"125","2","1","2","2","1","2","2","2","1","2",NA,"4","3","3","2","3","4","3","3","1","1","3","1","2","3","1","1","2","1","1","1","1","1","1","1","1","1","1","1","Physical science","Federal/national government","EuroRussia","S1",2.13982315134685,1.06992562230265,0.0306295966861722,"S1_1","S1_3","S1_1"
"126","2","2","2","2","2","2","2","2","1","1","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","2","1","Natural science","Federal/national government","EuroRussia","S1",-2.79484838455761,2.75925300283454,0.0825446003474001,"S1_1","S1_1","S1_1"
"127","2","2","2","2","2","2","2","2","2","2","1","5","5","5","1","1","5","5","1","1","3","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Natural science","Self supported","EuroRussia","S1",1.73364137541327,2.80901755492862,0.0583101265332313,"S1_3","S1_3","S1_1"
"128","2","2","2","2","2","2","2","2","3","4","3","4","4","4","1","2","3","3","2","1","1","2","1","2","1","1","1","1","1","2","1","2","2","1","1","1","1","2","1","Natural science","Federal/national government","EuroRussia","S1",-0.556827655227682,-0.231971919755233,0.00194722929781719,"S1_1","S1_2","S1_1"
"129","1","2","2","2","2","2","1","2","3","3","3","2","2","1","2","2","2","2","2","2","2","3","2","3","1","2","3","2","1","1","2","2","2","2","2","1","2","1","1","Natural science","Federal/national government","EuroRussia","S1",-0.530082251164502,0.308995706505726,0.00201464462361573,"S1_2","S1_3","S1_2"
"130","2","1","2","2","1","2","2","2","2","4","3","4","4","5","1","1","2","3","2","2","1","2","2","2","2","1","2","1","1","1","2","2","1","2","2","2","1","1","1","Natural science","Federal/national government","EuroRussia","S1",-0.135349393795911,-2.11784168141453,0.0241007419426494,"S1_1","S1_2","S1_2"
"131","2","2","1","2","1","2","2","2","3","5","4","5","5","4","2","3","1","1","1","2","1","4","2","1","1","1","1","1","1","2","1","1","1","1","1","2","2","1","1","Natural science","Federal/national government","USACanada","S1",0.796086281785233,-1.87902302292671,0.022286100982032,"S1_1","S1_4","S1_1"
"132","3","2","2","2","2","2","2","2","3","2","2","3","1","4","2","3","3","3","3","2","2","2","2","2","2","2","3","1","1","1","1","2","1","2","1","1","1","1","1","Natural science","Federal/national government","USACanada","S1",2.50416662743243,1.05641244907433,0.0395305591234273,"S1_2","S1_2","S1_2"
"133","2","1","2","2","2","1","2","2","2","4","5","2","3","4","1","2","4","4","4","1","1","2","2","3","2","1","2","1","1","1","1","1","2","2","1","2","2","1","1","Natural science","State/regional government","EuroRussia","S1",0.351683267855212,-0.940829592117499,0.00539878627336799,"S1_1","S1_2","S1_2"
"134","1","1","2","2","1","1","2","2","4","2","4","4","2","4","1","2","2","2","2","2","2","2","3","4","2","1","2","1","1","1","1","2","1","1","1","2",NA,"2","2","Natural science","Federal/national government","USACanada","S1",0.273498328060029,-3.15927463851424,0.0538134216402221,"S1_2","S1_2","S1_1"
"135","2","1","1","2","2","2","2","2","3","3","4","5","5","5","2","2","2","2","2","1","1","2","1","3","1","1","1","1","1","1",NA,"2",NA,"2","2","2","1","1","1","Natural science","Federal/national government","EuroRussia","S1",-0.196541641189218,-2.67675663216592,0.0385501530753024,"S1_1","S1_2","S1_2"
