counter,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2,Q2_text,Q3,Q3_text,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_text,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_text,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_text,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11a_1,Q11a_2,Q11a_3,Q11a_4,Q11a_5,Q11a_6,Q11a_7,Q11a_8,Q11a_9,Q11a_10,Q11a_11,Q11a_12,Q11b_1,Q11b_2,Q11b_3,Q11b_4,Q11b_5,Q11b_6,Q11b_7,Q11b_8,Q11b_9,Q11b_10,Q11b_11,Q11b_12,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_text,Q13,Q14_text,Q15,Q15_text,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_text,Q19,Q19_text,Q20,Q21,Q22,Q23
11,40,40, ,30, , , ,government, ,Biology, ,No,Yes,No,No,No,No,No,No,No,No, ,all, , , , , , , ,No,No,No,No,No,No,No,No,No, ,disagree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No, ,No,"Datasets are collected by Federal government, and contain non-sensitive information, and are in the public domain.  I am responsible for facilitating access.  Final approval rests on the appropriate government regulations and statutes.",Federal/national government, ,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No, ,Researcher, ,United States of America,Maryland,42,Male
12,75, ,5,15, , , ,government, ,Ecology, ,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No, ,none,none,none,none,none,none,none,they would need to contcat us,Yes,No,No,No,Yes,No,No,No,No, ,agree somewhat,disagree somewhat,disagree strongly,agree somewhat,disagree strongly,agree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,study and fdependent,No, ,Other,PUD's BPA,No,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Washington,50,Male
13,35,40, ,20,5, , ,academic, ,Environmental science, ,No,No,No,Yes,No,No,No,No,No,No, , , , , , , ,most,journal articles hld >99% of my data,No,No,No,No,No,No,No,No,Yes,slow publication,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,neither agree nor disagree,disagree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,disagree somewhat,agree strongly,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets,co-authors if co-authors were co-PIs,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Associate Professor, ,United States of America,Maine,53,Female
14,20,5,0,60,0,15,"reviewing, editing, reading science literature",government, ,Ecology, ,No,No,No,Yes,No,No,No,No,No,No, ,some,none,none,none,none,none, , ,No,No,Yes,No,No,Yes,No,No,No, ,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,agree somewhat,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Louisiana,59,Female
15,20,10,40,30, , , ,government, ,Ecology, ,No,Yes,No,No,No,Yes,No,Yes,No,No, ,some,none,some,none,none,none,none, ,No,No,No,Yes,No,No,No,No,No, ,neither agree nor disagree,disagree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat, ,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Researcher, ,United States of America,Arizona,48,Female
16, , , ,100, , ,As a government researcher I actually spend 40% of my time on paperwork BS,government, ,Ecology, ,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,some,none,some,none,none,none, ,employees cannot have websites,Yes,No,No,Yes,No,No,No,Yes,No, ,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,disagree strongly,neither agree nor disagree,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree strongly,agree somewhat,disagree somewhat,disagree strongly,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,NOAA climate data Center,Researcher, ,United States of America,Arizona,60, 
17,40,0,0,50,10, , ,government, ,Computer science, ,No,No,Yes,No,No,No,No,No,No,No, ,none,none,none,none,none,none, , ,No,No,No,Yes,No,No,No,Yes,No, ,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree strongly,disagree strongly,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,disagree strongly,neither agree nor disagree,disagree strongly,disagree strongly,neither agree nor disagree,disagree somewhat,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,disagree strongly,agree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No, ,No,"PI, SPONSORING AGENCY",Federal/national government, ,No,No,No,No,No,No,No,No,No,No,Yes,GENERATE MY OWN AS PART OF THE RESEARCH,Researcher, ,United States of America,Tennessee,51,Female
18,25, , ,75, , , ,government, ,Biology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,some,some, , , , , , ,Yes,Yes,No,Yes,No,No,Yes,No,No, ,agree strongly,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,agree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,Yes,No,No,No,No,No,No, ,Researcher, ,United States of America,Hawaii,54,Male
19,30,5,0,10,0,55,software development,academic, ,Information science, ,No,No,No,Yes,Yes,No,No,No,No,No, ,some,none,none,none,none,some, , ,No,No,Yes,No,No,Yes,No,No,No, ,agree strongly,neither agree nor disagree,disagree somewhat,agree strongly,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree strongly,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,neither agree nor disagree,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,Yes,No,No,Yes,No,Yes,No,No,No,No, ,Researcher, ,United States of America, , , 
20, ,2, ,94,4, , ,academic, ,Biology, ,Yes,Yes,Yes,Yes,No,No,No,No,No,No, , , , , , , , , ,No,No,No,Yes,No,No,No,No,Yes,Currently analysing,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,disagree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,disagree strongly,agree strongly,disagree strongly,agree somewhat,agree somewhat,agree strongly,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets,Datasets passed on to me from others.,Federal/national government, ,Don't know,Yes,No,No,No,No,No,No,No,No,No, ,Post-doctoral fellow, ,United States of America,California,29,Female
21,10,5,5,70, , , ,academic, ,Ecology, ,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No, ,some,none,some,none,none,none, , ,No,No,No,Yes,No,No,No,Yes,No, ,agree strongly,neither agree nor disagree,agree somewhat, ,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat, ,agree strongly, ,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,disagree strongly,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree strongly,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Private foundation, ,No,No,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,United States of America,California,35, 
22,1,4,0,95,0,0, ,academic, ,Ecology, ,Yes,No,No,Yes,No,No,Yes,Yes,No,No, ,some, , , , , , , ,No,No,Yes,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree strongly,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,agree strongly,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Post-doctoral fellow, ,United States of America,California,31,Female
23,50, , ,50, , , ,academic, ,Environmental science, ,Yes,Yes,No,No,No,No,No,No,No,Yes,government& economic,some, ,some, ,some, , , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No, ,No,another individual,Private foundation, ,No,No,No,No,No,No,No,No,No,No,No, ,Other, ,United States of America,California, , 
24,20,2.5,2.5,70,5, , ,academic, ,Biology, ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No, ,most,none,some,some,none,none,none, ,No,No,No,Yes,No,No,Yes,Yes,No, ,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree strongly,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No, ,No,Approval of collaborators or project PIs,Private foundation, ,Don't know,Yes,No,Yes,No,No,No,No,No,Yes,No, ,Researcher, ,United States of America,California,36,Female
25, ,5, ,95, , , ,academic, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, , , ,most, , , , , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,No, ,Post-doctoral fellow, ,United States of America,California,28,Male
